$_maindb_$:DAVE
station_name,station_type_name,datum,tile,northing,easting,elevation,created_date
PI20,paperimaging,WGS84,34J,6601194.45,541024.57,1051.35,2014-10-04 05:00:00
HH84,herahex,WGS84,34J,6601146.6,540901.6,1051.78,2017-01-24 08:25:00
HH87,herahex,WGS84,34J,6601146.6,540945.4,1051.79,2017-01-24 08:25:00
PI21,paperimaging,WGS84,34J,6601188.31,541014.75,1051.43,2014-10-04 05:00:00
PI22,paperimaging,WGS84,34J,6601197.15,540989.2,1051.35,2014-10-04 05:00:00
PI23,paperimaging,WGS84,34J,6601202.09,541004.2,1051.41,2014-10-04 05:00:00
PI24,paperimaging,WGS84,34J,6601208.5,540991.94,1051.2,2014-10-04 05:00:00
PI25,paperimaging,WGS84,34J,6601212.7,540998.57,1051.32,2014-10-04 05:00:00
PI26,paperimaging,WGS84,34J,6601214.55,540982.91,1051.15,2014-10-04 05:00:00
PI27,paperimaging,WGS84,34J,6601219.63,540981.56,1051.11,2014-10-04 05:00:00
PI28,paperimaging,WGS84,34J,6601232.06,540978.85,1051.16,2014-10-04 05:00:00
PI29,paperimaging,WGS84,34J,6601237.61,540979.69,1051.11,2014-10-04 05:00:00
PI3,paperimaging,WGS84,34J,6601285.51,541012.14,1050.59,2014-10-04 05:00:00
PI30,paperimaging,WGS84,34J,6601239.31,540974.05,1051.0,2014-10-04 05:00:00
PI31,paperimaging,WGS84,34J,6601243.03,540986.5,1051.05,2014-10-04 05:00:00
PI32,paperimaging,WGS84,34J,6601250.36,540982.98,1050.83,2014-10-04 05:00:00
PI33,paperimaging,WGS84,34J,6601277.5,540926.63,1050.53,2014-10-04 05:00:00
PI34,paperimaging,WGS84,34J,6601256.7,540880.69,1050.68,2014-10-04 05:00:00
PI35,paperimaging,WGS84,34J,6601235.9,540877.88,1050.87,2014-10-04 05:00:00
PI36,paperimaging,WGS84,34J,6601215.1,540875.07,1051.05,2014-10-04 05:00:00
PI37,paperimaging,WGS84,34J,6601194.3,540872.25,1051.25,2014-10-04 05:00:00
PI38,paperimaging,WGS84,34J,6601173.5,540869.44,1051.45,2014-10-04 05:00:00
PI39,paperimaging,WGS84,34J,6601167.86,540930.8,1051.53,2014-10-04 05:00:00
PI4,paperimaging,WGS84,34J,6601279.5,541018.8,1050.61,2014-10-04 05:00:00
PI40,paperimaging,WGS84,34J,6601133.93,540981.9,1051.94,2014-10-04 05:00:00
PI41,paperimaging,WGS84,34J,6601158.0,541041.84,1051.8,2014-10-04 05:00:00
PI42,paperimaging,WGS84,34J,6601121.29,541091.4,1052.04,2014-10-04 05:00:00
PI43,paperimaging,WGS84,34J,6601083.36,541142.5,1052.44,2014-10-04 05:00:00
PI44,paperimaging,WGS84,34J,6601146.58,541149.8,1051.87,2014-10-04 05:00:00
PI45,paperimaging,WGS84,34J,6601171.9,541103.18,1051.62,2014-10-04 05:00:00
PI46,paperimaging,WGS84,34J,6601184.51,541098.7,1051.6,2014-10-04 05:00:00
PI47,paperimaging,WGS84,34J,6601192.7,541100.71,1051.37,2014-10-04 05:00:00
PI48,paperimaging,WGS84,34J,6601213.5,541100.07,1051.2,2014-10-04 05:00:00
PI49,paperimaging,WGS84,34J,6601234.3,541098.19,1050.99,2014-10-04 05:00:00
PI5,paperimaging,WGS84,34J,6601276.86,541029.51,1050.75,2014-10-04 05:00:00
PI50,paperimaging,WGS84,34J,6601259.1,541095.68,1050.83,2014-10-04 05:00:00
PI6,paperimaging,WGS84,34J,6601285.12,541035.74,1050.72,2014-10-04 05:00:00
PI7,paperimaging,WGS84,34J,6601284.89,541043.32,1050.59,2014-10-04 05:00:00
PI8,paperimaging,WGS84,34J,6601279.9,541042.88,1050.61,2014-10-04 05:00:00
PI9,paperimaging,WGS84,34J,6601280.54,541056.5,1050.7,2014-10-04 05:00:00
PPA10,paperpolarized,WGS84,34J,6601156.75,541024.09,1051.65,2014-10-04 05:00:00
PPA12,paperpolarized,WGS84,34J,6601156.81,541054.13,1051.7,2014-10-04 05:00:00
PPA14,paperpolarized,WGS84,34J,6601156.86,541084.09,1051.74,2014-10-04 05:00:00
PPA6,paperpolarized,WGS84,34J,6601156.78,540964.09,1051.68,2014-10-04 05:00:00
PPA8,paperpolarized,WGS84,34J,6601156.82,540994.09,1051.66,2014-10-04 05:00:00
PPE10,paperpolarized,WGS84,34J,6601140.8,541024.11,1051.82,2014-10-04 05:00:00
PPE12,paperpolarized,WGS84,34J,6601140.82,541054.1,1051.87,2014-10-04 05:00:00
PPE14,paperpolarized,WGS84,34J,6601140.83,541084.15,1051.85,2014-10-04 05:00:00
PPE6,paperpolarized,WGS84,34J,6601140.81,540964.11,1051.86,2014-10-04 05:00:00
HH15,herahex,WGS84,34J,6601083.38,540952.7,1052.41,2017-03-02 09:20:14
HH41,herahex,WGS84,34J,6601108.67,540952.7,1052.18,2017-03-02 09:21:26
PPE8,paperpolarized,WGS84,34J,6601140.81,540994.13,1051.81,2014-10-04 05:00:00
SA11,stationgrid,WGS84,34J,6601156.75,541039.09,1051.7,2014-10-04 05:00:00
SA13,stationgrid,WGS84,34J,6601156.81,541069.13,1051.69,2014-10-04 05:00:00
SA5,stationgrid,WGS84,34J,6601156.76,540949.12,1051.69,2014-10-04 05:00:00
SA7,stationgrid,WGS84,34J,6601156.78,540979.09,1051.62,2014-10-04 05:00:00
SA9,stationgrid,WGS84,34J,6601156.82,541009.09,1051.66,2014-10-04 05:00:00
SC10,stationgrid,WGS84,34J,6601148.77,541024.11,1051.71,2014-10-04 05:00:00
SC11,stationgrid,WGS84,34J,6601148.77,541039.11,1051.84,2014-10-04 05:00:00
SC12,stationgrid,WGS84,34J,6601148.8,541054.08,1051.77,2014-10-04 05:00:00
SC13,stationgrid,WGS84,34J,6601148.8,541069.08,1051.81,2014-10-04 05:00:00
SC14,stationgrid,WGS84,34J,6601148.84,541084.11,1051.78,2014-10-04 05:00:00
SC5,stationgrid,WGS84,34J,6601148.77,540949.14,1051.78,2014-10-04 05:00:00
SC6,stationgrid,WGS84,34J,6601148.75,540964.11,1051.73,2014-10-04 05:00:00
SC7,stationgrid,WGS84,34J,6601148.75,540979.11,1051.72,2014-10-04 05:00:00
SC8,stationgrid,WGS84,34J,6601148.8,540994.13,1051.74,2014-10-04 05:00:00
SC9,stationgrid,WGS84,34J,6601148.8,541009.13,1051.72,2014-10-04 05:00:00
SE11,stationgrid,WGS84,34J,6601140.8,541039.11,1051.87,2014-10-04 05:00:00
SE13,stationgrid,WGS84,34J,6601140.82,541069.1,1051.8,2014-10-04 05:00:00
SE5,stationgrid,WGS84,34J,6601140.78,540949.13,1051.8,2014-10-04 05:00:00
SE7,stationgrid,WGS84,34J,6601140.81,540979.11,1051.82,2014-10-04 05:00:00
SE9,stationgrid,WGS84,34J,6601140.81,541009.13,1051.82,2014-10-04 05:00:00
SG10,stationgrid,WGS84,34J,6601132.83,541024.09,1051.89,2014-10-04 05:00:00
SG11,stationgrid,WGS84,34J,6601132.83,541039.09,1051.91,2014-10-04 05:00:00
SG12,stationgrid,WGS84,34J,6601132.84,541054.1,1051.93,2014-10-04 05:00:00
SG13,stationgrid,WGS84,34J,6601132.84,541069.1,1051.91,2014-10-04 05:00:00
SG14,stationgrid,WGS84,34J,6601132.84,541084.13,1051.9,2014-10-04 05:00:00
SG5,stationgrid,WGS84,34J,6601132.78,540949.12,1051.91,2014-10-04 05:00:00
SG6,stationgrid,WGS84,34J,6601132.81,540964.13,1051.96,2014-10-04 05:00:00
SG7,stationgrid,WGS84,34J,6601132.81,540979.13,1051.92,2014-10-04 05:00:00
PI1,paperimaging,WGS84,34J,6601297.98,541025.46,1050.46,2014-10-04 05:00:00
HH86,herahex,WGS84,34J,6601146.6,540930.8,1051.77,2017-01-24 08:25:00
PI10,paperimaging,WGS84,34J,6601269.68,541051.49,1050.86,2014-10-04 05:00:00
PI11,paperimaging,WGS84,34J,6601264.3,541062.7,1051.0,2014-10-04 05:00:00
PI12,paperimaging,WGS84,34J,6601256.15,541066.53,1051.01,2014-10-04 05:00:00
PI13,paperimaging,WGS84,34J,6601248.01,541075.19,1051.13,2014-10-04 05:00:00
PI14,paperimaging,WGS84,34J,6601238.91,541070.59,1051.06,2014-10-04 05:00:00
PI15,paperimaging,WGS84,34J,6601233.81,541080.71,1051.15,2014-10-04 05:00:00
PI16,paperimaging,WGS84,34J,6601227.86,541065.71,1051.16,2014-10-04 05:00:00
PI17,paperimaging,WGS84,34J,6601223.65,541064.08,1051.29,2014-10-04 05:00:00
HH28,herahex,WGS84,34J,6601096.03,540960.0,1052.31,2017-02-04 06:28:33
HH36,herahex,WGS84,34J,6601108.67,540879.7,1052.17,2017-02-04 06:28:49
HH42,herahex,WGS84,34J,6601108.67,540967.3,1052.17,2017-02-04 06:28:59
HH51,herahex,WGS84,34J,6601121.32,540887.0,1052.03,2017-02-04 09:45:23
PI18,paperimaging,WGS84,34J,6601218.44,541047.6,1051.2,2014-10-04 05:00:00
PI19,paperimaging,WGS84,34J,6601210.09,541048.01,1051.42,2014-10-04 05:00:00
